Team,Player,Position,Owner ID
Sporty Jess,Dolphins D/ST,D/ST,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4}
Trash Panda Express,Jahmyr Gibbs,RB,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD}
Trash Panda Express,Ladd McConkey,WR,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD}
Trash Panda Express,Lamar Jackson,QB,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD}
Trash Panda Express,Travis Hunter,WR,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD}
Trash Panda Express,Emeka Egbuka,WR,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD}
Trash Panda Express,Jordan Addison,WR,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD}
Trash Panda Express,Zach Charbonnet,RB,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD}
Trash Panda Express,Alec Pierce,WR,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD}
Trash Panda Express,Michael Wilson,WR,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD}
Trash Panda Express,Jaguars D/ST,D/ST,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD}
Trash Panda Express,Evan McPherson,K,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD}
Trash Panda Express,Bills D/ST,D/ST,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD}
Trash Panda Express,Patriots D/ST,D/ST,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD}
Trash Panda Express,Tyler Shough,QB,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD}
Trash Panda Express,Jaydon Blue,RB,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD}
Trash Panda Express,Audric Estime,RB,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD}
Trash Panda Express,Chig Okonkwo,TE,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD}
Team Schottler,Justin Jefferson,WR,{E7CC7F46-F717-486C-97F3-AA57BBB5769A}
Team Schottler,Brock Bowers,TE,{E7CC7F46-F717-486C-97F3-AA57BBB5769A}
Team Schottler,Trey McBride,TE,{E7CC7F46-F717-486C-97F3-AA57BBB5769A}
Team Schottler,George Pickens,WR,{E7CC7F46-F717-486C-97F3-AA57BBB5769A}
Team Schottler,RJ Harvey,RB,{E7CC7F46-F717-486C-97F3-AA57BBB5769A}
Team Schottler,Javonte Williams,RB,{E7CC7F46-F717-486C-97F3-AA57BBB5769A}
Team Schottler,Jayden Reed,WR,{E7CC7F46-F717-486C-97F3-AA57BBB5769A}
Team Schottler,Jordan Love,QB,{E7CC7F46-F717-486C-97F3-AA57BBB5769A}
Team Schottler,Wan'Dale Robinson,WR,{E7CC7F46-F717-486C-97F3-AA57BBB5769A}
Team Schottler,Vikings D/ST,D/ST,{E7CC7F46-F717-486C-97F3-AA57BBB5769A}
Team Schottler,Jake Bates,K,{E7CC7F46-F717-486C-97F3-AA57BBB5769A}
Team Schottler,JuJu Smith-Schuster,WR,{E7CC7F46-F717-486C-97F3-AA57BBB5769A}
Team Schottler,Zach Ertz,TE,{E7CC7F46-F717-486C-97F3-AA57BBB5769A}
Team Schottler,Will Reichard,K,{E7CC7F46-F717-486C-97F3-AA57BBB5769A}
Team Schottler,Christian Watson,WR,{E7CC7F46-F717-486C-97F3-AA57BBB5769A}
Team Schottler,Mike Gesicki,TE,{E7CC7F46-F717-486C-97F3-AA57BBB5769A}
Team Schottler,Malik Davis,RB,{E7CC7F46-F717-486C-97F3-AA57BBB5769A}
Derk Prerscert,Saquon Barkley,RB,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F}
Derk Prerscert,Nico Collins,WR,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F}
Derk Prerscert,Chuba Hubbard,RB,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F}
Derk Prerscert,Cam Skattebo,RB,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F}
Derk Prerscert,Dak Prescott,QB,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F}
Derk Prerscert,Hunter Henry,TE,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F}
Derk Prerscert,Brandon Aubrey,K,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F}
Derk Prerscert,Mark Andrews,TE,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F}
Derk Prerscert,Eagles D/ST,D/ST,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F}
Derk Prerscert,David Montgomery,RB,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F}
Derk Prerscert,DJ Moore,WR,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F}
Derk Prerscert,Brock Purdy,QB,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F}
Derk Prerscert,Chris Godwin Jr.,WR,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F}
Derk Prerscert,Luther Burden III,WR,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F}
Derk Prerscert,Dylan Sampson,RB,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F}
Derk Prerscert,Mack Hollins,WR,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F}
Derk Prerscert,Isiah Pacheco,RB,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F}
Yangblood Bravesheart,Bijan Robinson,RB,{E2B51AC9-D133-4155-B51A-C9D133E155BA}
Yangblood Bravesheart,Josh Allen,QB,{E2B51AC9-D133-4155-B51A-C9D133E155BA}
Yangblood Bravesheart,Marvin Harrison Jr.,WR,{E2B51AC9-D133-4155-B51A-C9D133E155BA}
Yangblood Bravesheart,Tetairoa McMillan,WR,{E2B51AC9-D133-4155-B51A-C9D133E155BA}
Yangblood Bravesheart,Rome Odunze,WR,{E2B51AC9-D133-4155-B51A-C9D133E155BA}
Yangblood Bravesheart,Tony Pollard,RB,{E2B51AC9-D133-4155-B51A-C9D133E155BA}
Yangblood Bravesheart,Rhamondre Stevenson,RB,{E2B51AC9-D133-4155-B51A-C9D133E155BA}
Yangblood Bravesheart,Tyler Warren,TE,{E2B51AC9-D133-4155-B51A-C9D133E155BA}
Yangblood Bravesheart,Seahawks D/ST,D/ST,{E2B51AC9-D133-4155-B51A-C9D133E155BA}
Yangblood Bravesheart,Harrison Butker,K,{E2B51AC9-D133-4155-B51A-C9D133E155BA}
Yangblood Bravesheart,TreVeyon Henderson,RB,{E2B51AC9-D133-4155-B51A-C9D133E155BA}
Yangblood Bravesheart,Jayden Higgins,WR,{E2B51AC9-D133-4155-B51A-C9D133E155BA}
Yangblood Bravesheart,Jordan Mason,RB,{E2B51AC9-D133-4155-B51A-C9D133E155BA}
Yangblood Bravesheart,Chris Rodriguez Jr.,RB,{E2B51AC9-D133-4155-B51A-C9D133E155BA}
Yangblood Bravesheart,Jaylen Wright,RB,{E2B51AC9-D133-4155-B51A-C9D133E155BA}
Yangblood Bravesheart,Ryan Flournoy,WR,{E2B51AC9-D133-4155-B51A-C9D133E155BA}
"Bad, Bad, A.J. Brown",De'Von Achane,RB,{10FCCFDD-378B-48B3-9235-1B7FE979B565}
"Bad, Bad, A.J. Brown",A.J. Brown,WR,{10FCCFDD-378B-48B3-9235-1B7FE979B565}
"Bad, Bad, A.J. Brown",Omarion Hampton,RB,{10FCCFDD-378B-48B3-9235-1B7FE979B565}
"Bad, Bad, A.J. Brown",Jaxon Smith-Njigba,WR,{10FCCFDD-378B-48B3-9235-1B7FE979B565}
"Bad, Bad, A.J. Brown",Aaron Jones Sr.,RB,{10FCCFDD-378B-48B3-9235-1B7FE979B565}
"Bad, Bad, A.J. Brown",Travis Kelce,TE,{10FCCFDD-378B-48B3-9235-1B7FE979B565}
"Bad, Bad, A.J. Brown",C.J. Stroud,QB,{10FCCFDD-378B-48B3-9235-1B7FE979B565}
"Bad, Bad, A.J. Brown",Broncos D/ST,D/ST,{10FCCFDD-378B-48B3-9235-1B7FE979B565}
"Bad, Bad, A.J. Brown",Juwan Johnson,TE,{10FCCFDD-378B-48B3-9235-1B7FE979B565}
"Bad, Bad, A.J. Brown",Kyle Monangai,RB,{10FCCFDD-378B-48B3-9235-1B7FE979B565}
"Bad, Bad, A.J. Brown",Cairo Santos,K,{10FCCFDD-378B-48B3-9235-1B7FE979B565}
"Bad, Bad, A.J. Brown",Troy Franklin,WR,{10FCCFDD-378B-48B3-9235-1B7FE979B565}
"Bad, Bad, A.J. Brown",Parker Washington,WR,{10FCCFDD-378B-48B3-9235-1B7FE979B565}
"Bad, Bad, A.J. Brown",Jahan Dotson,WR,{10FCCFDD-378B-48B3-9235-1B7FE979B565}
"Bad, Bad, A.J. Brown",Tanner McKee,QB,{10FCCFDD-378B-48B3-9235-1B7FE979B565}
"Bad, Bad, A.J. Brown",Tank Bigsby,RB,{10FCCFDD-378B-48B3-9235-1B7FE979B565}
Tracey Time,Amon-Ra St. Brown,WR,{7620C450-A7B4-4E78-82D4-83946B8B23FC}
Tracey Time,Brian Thomas Jr.,WR,{7620C450-A7B4-4E78-82D4-83946B8B23FC}
Tracey Time,Jalen Hurts,QB,{7620C450-A7B4-4E78-82D4-83946B8B23FC}
Tracey Time,D'Andre Swift,RB,{7620C450-A7B4-4E78-82D4-83946B8B23FC}
Tracey Time,Stefon Diggs,WR,{7620C450-A7B4-4E78-82D4-83946B8B23FC}
Tracey Time,Jaylen Warren,RB,{7620C450-A7B4-4E78-82D4-83946B8B23FC}
Tracey Time,Cooper Kupp,WR,{7620C450-A7B4-4E78-82D4-83946B8B23FC}
Tracey Time,Rachaad White,RB,{7620C450-A7B4-4E78-82D4-83946B8B23FC}
Tracey Time,Cameron Dicker,K,{7620C450-A7B4-4E78-82D4-83946B8B23FC}
Tracey Time,Lions D/ST,D/ST,{7620C450-A7B4-4E78-82D4-83946B8B23FC}
Tracey Time,Romeo Doubs,WR,{7620C450-A7B4-4E78-82D4-83946B8B23FC}
Tracey Time,Darren Waller,TE,{7620C450-A7B4-4E78-82D4-83946B8B23FC}
Tracey Time,Rico Dowdle,RB,{7620C450-A7B4-4E78-82D4-83946B8B23FC}
Tracey Time,Theo Johnson,TE,{7620C450-A7B4-4E78-82D4-83946B8B23FC}
Tracey Time,Jacoby Brissett,QB,{7620C450-A7B4-4E78-82D4-83946B8B23FC}
Tracey Time,Adonai Mitchell,WR,{7620C450-A7B4-4E78-82D4-83946B8B23FC}
Tracey Time,Michael Mayer,TE,{7620C450-A7B4-4E78-82D4-83946B8B23FC}
At Risk of CTE,Puka Nacua,WR,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64}
At Risk of CTE,Derrick Henry,RB,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64}
At Risk of CTE,Tee Higgins,WR,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64}
At Risk of CTE,George Kittle,TE,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64}
At Risk of CTE,Chris Olave,WR,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64}
At Risk of CTE,Khalil Shakir,WR,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64}
At Risk of CTE,Jauan Jennings,WR,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64}
At Risk of CTE,Dalton Kincaid,TE,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64}
At Risk of CTE,Jared Goff,QB,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64}
At Risk of CTE,Woody Marks,RB,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64}
At Risk of CTE,Texans D/ST,D/ST,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64}
At Risk of CTE,Chase Brown,RB,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64}
At Risk of CTE,Mike Evans,WR,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64}
At Risk of CTE,Ka'imi Fairbairn,K,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64}
At Risk of CTE,Trevor Lawrence,QB,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64}
At Risk of CTE,AJ Barner,TE,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64}
At Risk of CTE,Samaje Perine,RB,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64}
Hannah's Hail Mary,CeeDee Lamb,WR,{4375637E-BE98-463A-BC78-7D6AD1D285D8}
Hannah's Hail Mary,Josh Jacobs,RB,{4375637E-BE98-463A-BC78-7D6AD1D285D8}
Hannah's Hail Mary,James Cook III,RB,{4375637E-BE98-463A-BC78-7D6AD1D285D8}
Hannah's Hail Mary,Sam LaPorta,TE,{4375637E-BE98-463A-BC78-7D6AD1D285D8}
Hannah's Hail Mary,Baker Mayfield,QB,{4375637E-BE98-463A-BC78-7D6AD1D285D8}
Hannah's Hail Mary,Jerry Jeudy,WR,{4375637E-BE98-463A-BC78-7D6AD1D285D8}
Hannah's Hail Mary,Jakobi Meyers,WR,{4375637E-BE98-463A-BC78-7D6AD1D285D8}
Hannah's Hail Mary,Rashid Shaheed,WR,{4375637E-BE98-463A-BC78-7D6AD1D285D8}
Hannah's Hail Mary,Xavier Legette,WR,{4375637E-BE98-463A-BC78-7D6AD1D285D8}
Hannah's Hail Mary,Trey Benson,RB,{4375637E-BE98-463A-BC78-7D6AD1D285D8}
Hannah's Hail Mary,Dallas Goedert,TE,{4375637E-BE98-463A-BC78-7D6AD1D285D8}
Hannah's Hail Mary,Tua Tagovailoa,QB,{4375637E-BE98-463A-BC78-7D6AD1D285D8}
Hannah's Hail Mary,Ray Davis,RB,{4375637E-BE98-463A-BC78-7D6AD1D285D8}
Hannah's Hail Mary,Colts D/ST,D/ST,{4375637E-BE98-463A-BC78-7D6AD1D285D8}
Hannah's Hail Mary,Chris Boswell,K,{4375637E-BE98-463A-BC78-7D6AD1D285D8}
Hannah's Hail Mary,Matt Prater,K,{4375637E-BE98-463A-BC78-7D6AD1D285D8}
Hannah's Hail Mary,Michael Carter,RB,{4375637E-BE98-463A-BC78-7D6AD1D285D8}
