Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,League Name,Year
12 - 10,120,Raheem Mostert,RB,Prahlad's  Life Coach,123.79,9.52,152.8,9.55,16,68.62,D+,0755 Fantasy Football,2022
8 - 4,74,Antonio Gibson,RB,The Big Hurts,167.21,11.15,142.9,9.53,15,68.11,D+,0755 Fantasy Football,2022
1 - 1,1,Jonathan Taylor,RB,Prahlad's  Life Coach,295.45,19.7,132.4,12.04,11,67.89,D+,0755 Fantasy Football,2022
7 - 3,63,JuJu Smith-Schuster,WR,Office Director,159.78,9.99,146.3,9.14,16,67.86,D+,0755 Fantasy Football,2022
10 - 1,91,Drake London,WR,PHL Mike,155.95,10.4,142.6,8.39,17,67.72,D+,0755 Fantasy Football,2022
15 - 4,144,Jakobi Meyers,WR,Chicken Fried Chicken Meal,137.74,9.18,146.8,10.49,14,67.54,D+,0755 Fantasy Football,2022
13 - 7,127,Tyler Allgeier,RB,The Big Hurts,75.36,5.02,151.4,9.46,16,67.4,D+,0755 Fantasy Football,2022
11 - 6,106,DeAndre Hopkins,WR,Brady Gaga,121.96,12.2,119.7,13.3,9,67.02,D+,0755 Fantasy Football,2022
8 - 9,79,Adam Thielen,WR,Team Just here 4 fun,155.44,10.36,145.0,8.53,17,66.84,D,0755 Fantasy Football,2022
6 - 10,60,Gabe Davis,WR,Prahlad's  Life Coach,176.0,11.0,147.6,9.84,15,66.81,D,0755 Fantasy Football,2022
3 - 9,29,Cam Akers,RB,Hot Sauce 'n' Bananas,134.83,8.99,134.8,8.99,15,66.44,D,0755 Fantasy Football,2022
14 - 1,131,Ravens D/ST,D/ST,PHL Mike,130.45,7.67,140.0,8.24,17,66.43,D,0755 Fantasy Football,2022
11 - 1,101,Allen Lazard,WR,Prahlad's  Life Coach,144.67,10.33,144.8,9.65,15,66.08,D,0755 Fantasy Football,2022
4 - 8,38,Diontae Johnson,WR,Office Director,174.68,10.92,137.7,8.1,17,65.45,D,0755 Fantasy Football,2022
9 - 2,82,Dallas Goedert,TE,Team Just here 4 fun,121.48,8.1,113.7,9.47,12,65.37,D,0755 Fantasy Football,2022
5 - 10,50,Marquise Brown,WR,PHL Mike,174.1,10.88,122.5,10.21,12,65.18,D,0755 Fantasy Football,2022
12 - 1,111,Cole Kmet,TE,PHL Mike,115.94,7.25,122.3,7.19,17,64.78,D,0755 Fantasy Football,2022
13 - 5,125,Matt Gay,K,MPT Phase1A,139.7,8.22,131.0,7.71,17,64.67,D,0755 Fantasy Football,2022
14 - 2,132,Tyler Bass,K,Hot Sauce 'n' Bananas,119.27,7.02,129.0,8.06,16,64.45,D,0755 Fantasy Football,2022
7 - 10,70,Dalton Schultz,TE,PHL Mike,138.98,8.69,114.2,7.61,15,63.99,D,0755 Fantasy Football,2022
4 - 10,40,Courtland Sutton,WR,Prahlad's  Life Coach,177.66,11.1,127.4,8.49,15,63.85,D,0755 Fantasy Football,2022
14 - 8,138,Nick Folk,K,Office Director,135.95,8.0,130.0,7.65,17,63.7,D,0755 Fantasy Football,2022
5 - 2,42,Brandin Cooks,WR,Team Just here 4 fun,172.75,10.8,117.1,9.01,13,63.25,D,0755 Fantasy Football,2022
10 - 6,96,Zach Ertz,TE,MPT Phase1A,118.79,7.92,92.1,9.21,10,63.16,D,0755 Fantasy Football,2022
6 - 7,57,Dawson Knox,TE,Chicken Fried Chicken Meal,121.61,8.11,111.7,7.45,15,62.3,D-,0755 Fantasy Football,2022
14 - 7,137,Ryan Tannehill,QB,Chicken Fried Chicken Meal,210.45,13.15,128.24,10.69,12,62.09,D-,0755 Fantasy Football,2022
11 - 9,109,Pat Freiermuth,TE,Hot Sauce 'n' Bananas,112.38,7.02,116.7,7.29,16,61.77,D-,0755 Fantasy Football,2022
15 - 6,146,David Njoku,TE,Brady Gaga,107.84,6.74,113.0,8.07,14,61.63,D-,0755 Fantasy Football,2022
12 - 3,113,Packers D/ST,D/ST,MOTHER MAY I,149.83,8.81,116.0,6.82,17,61.0,D-,0755 Fantasy Football,2022
12 - 4,114,Evan McPherson,K,The Big Hurts,141.17,8.3,111.0,6.94,16,60.45,D-,0755 Fantasy Football,2022
14 - 5,135,Brandon McManus,K,Brady Gaga,133.03,7.83,118.0,6.94,17,60.37,D-,0755 Fantasy Football,2022
13 - 6,126,Saints D/ST,D/ST,Brady Gaga,141.45,8.32,116.0,6.82,17,59.74,F-,0755 Fantasy Football,2022
7 - 1,61,Michael Thomas,WR,Prahlad's  Life Coach,168.8,12.98,43.1,14.37,3,58.96,F-,0755 Fantasy Football,2022
13 - 1,121,Colts D/ST,D/ST,Prahlad's  Life Coach,117.51,6.91,112.0,6.59,17,58.91,F-,0755 Fantasy Football,2022
14 - 10,140,Jake Elliott,K,Prahlad's  Life Coach,122.81,7.22,112.0,7.0,16,58.72,F-,0755 Fantasy Football,2022
16 - 6,156,Steelers D/ST,D/ST,MPT Phase1A,115.94,6.82,109.0,6.41,17,58.3,F-,0755 Fantasy Football,2022
15 - 10,150,Brian Robinson Jr.,RB,PHL Mike,96.59,8.78,108.2,9.02,12,57.85,F-,0755 Fantasy Football,2022
13 - 4,124,Buccaneers D/ST,D/ST,Chicken Fried Chicken Meal,132.19,7.78,108.0,6.35,17,57.46,F-,0755 Fantasy Football,2022
7 - 7,67,Clyde Edwards-Helaire,RB,The Big Hurts,172.17,11.48,89.8,8.98,10,57.25,F-,0755 Fantasy Football,2022
9 - 5,85,Kareem Hunt,RB,MPT Phase1A,158.99,10.6,109.3,6.43,17,56.44,F-,0755 Fantasy Football,2022
16 - 9,159,Matt Prater,K,Team Just here 4 fun,123.14,7.24,91.0,7.0,13,55.33,F-,0755 Fantasy Football,2022
14 - 3,133,Noah Fant,TE,MOTHER MAY I,110.11,6.88,97.6,5.74,17,55.27,F-,0755 Fantasy Football,2022
5 - 7,47,Darren Waller,TE,The Big Hurts,153.47,9.59,70.8,7.87,9,55.06,F-,0755 Fantasy Football,2022
10 - 8,98,James Robinson,RB,Office Director,138.16,9.87,83.1,7.55,11,54.57,F-,0755 Fantasy Football,2022
11 - 8,108,Michael Carter,RB,MOTHER MAY I,128.84,8.59,105.5,6.59,16,54.27,F-,0755 Fantasy Football,2022
13 - 10,130,Harrison Butker,K,PHL Mike,139.83,8.23,91.0,7.0,13,54.25,F-,0755 Fantasy Football,2022
10 - 9,99,Damien Harris,RB,Team Just here 4 fun,165.64,11.04,82.4,7.49,11,54.23,F-,0755 Fantasy Football,2022
6 - 6,56,J.K. Dobbins,RB,MPT Phase1A,197.6,14.11,77.7,9.71,8,54.22,F-,0755 Fantasy Football,2022
16 - 10,160,Dolphins D/ST,D/ST,Prahlad's  Life Coach,113.78,6.69,98.0,5.76,17,54.21,F-,0755 Fantasy Football,2022
10 - 7,97,Mike Gesicki,TE,Chicken Fried Chicken Meal,109.64,6.85,82.2,4.84,17,53.37,F-,0755 Fantasy Football,2022
15 - 9,149,Rams D/ST,D/ST,Hot Sauce 'n' Bananas,93.03,5.47,100.0,5.88,17,53.3,F-,0755 Fantasy Football,2022
15 - 3,143,Chargers D/ST,D/ST,Office Director,119.51,7.03,98.0,5.76,17,53.1,F-,0755 Fantasy Football,2022
12 - 2,112,James Cook,RB,Hot Sauce 'n' Bananas,106.7,7.11,95.2,5.95,16,52.8,F-,0755 Fantasy Football,2022
11 - 7,107,Marquez Valdes-Scantling,WR,The Big Hurts,149.5,9.34,101.4,5.96,17,52.67,F-,0755 Fantasy Football,2022
10 - 3,93,Robert Woods,WR,MOTHER MAY I,145.85,9.72,89.2,5.25,17,52.45,F-,0755 Fantasy Football,2022
7 - 5,65,Darnell Mooney,WR,MPT Phase1A,174.05,10.88,81.5,6.79,12,52.19,F-,0755 Fantasy Football,2022
12 - 5,115,Matthew Stafford,QB,Brady Gaga,250.35,15.65,79.38,8.82,9,52.11,F-,0755 Fantasy Football,2022
5 - 5,45,Kyle Pitts,TE,MPT Phase1A,159.98,10.0,61.6,6.16,10,50.13,F-,0755 Fantasy Football,2022
15 - 7,147,Robert Tonyan,TE,The Big Hurts,99.09,6.61,85.5,5.03,17,49.98,F-,0755 Fantasy Football,2022
16 - 7,157,Michael Gallup,WR,Chicken Fried Chicken Meal,131.9,9.42,85.9,6.14,14,49.8,F-,0755 Fantasy Football,2022
14 - 9,139,Hunter Henry,TE,Team Just here 4 fun,120.18,7.51,83.4,4.91,17,49.72,F-,0755 Fantasy Football,2022
7 - 9,69,Allen Robinson II,WR,Hot Sauce 'n' Bananas,164.93,10.31,68.4,6.84,10,48.81,F-,0755 Fantasy Football,2022
11 - 4,104,Rashaad Penny,RB,Chicken Fried Chicken Meal,150.23,11.56,50.2,10.04,5,48.36,F-,0755 Fantasy Football,2022
11 - 10,110,Melvin Gordon III,RB,PHL Mike,132.01,8.8,74.6,7.46,10,48.18,F-,0755 Fantasy Football,2022
16 - 8,158,Austin Hooper,TE,Office Director,100.54,6.7,76.9,4.52,17,47.81,F-,0755 Fantasy Football,2022
15 - 8,148,Zach Wilson,QB,MOTHER MAY I,168.1,12.93,75.42,8.38,9,47.56,F-,0755 Fantasy Football,2022
13 - 8,128,Chase Claypool,WR,MOTHER MAY I,150.44,9.4,82.04,5.47,15,47.0,F-,0755 Fantasy Football,2022
5 - 6,46,Elijah Mitchell,RB,Brady Gaga,184.34,12.29,42.1,8.42,5,46.58,F-,0755 Fantasy Football,2022
8 - 3,73,Hunter Renfrow,WR,MOTHER MAY I,159.35,9.96,61.0,6.1,10,46.18,F-,0755 Fantasy Football,2022
16 - 5,155,Alexander Mattison,RB,Brady Gaga,98.45,6.56,80.9,4.76,17,46.02,F-,0755 Fantasy Football,2022
3 - 2,22,Javonte Williams,RB,Team Just here 4 fun,214.02,14.27,34.0,8.5,4,45.94,F-,0755 Fantasy Football,2022
10 - 5,95,Elijah Moore,WR,Brady Gaga,164.33,10.27,69.6,4.35,16,45.78,F-,0755 Fantasy Football,2022
8 - 10,80,Chase Edmonds,RB,Prahlad's  Life Coach,150.26,10.02,66.2,5.09,13,45.35,F-,0755 Fantasy Football,2022
12 - 9,119,Nyheim Hines,RB,Team Just here 4 fun,118.08,7.87,66.4,4.15,15,41.16,F-,0755 Fantasy Football,2022
9 - 7,87,Rashod Bateman,WR,The Big Hurts,159.62,9.98,46.0,6.57,7,40.49,F-,0755 Fantasy Football,2022
15 - 5,145,Kadarius Toney,WR,MPT Phase1A,149.3,9.95,49.3,5.48,9,35.54,F-,0755 Fantasy Football,2022
16 - 4,154,J.D. McKissic,RB,The Big Hurts,119.16,7.94,42.3,5.29,8,34.81,F-,0755 Fantasy Football,2022
9 - 3,83,Trey Lance,QB,Office Director,251.37,15.71,10.46,5.23,2,22.37,F-,0755 Fantasy Football,2022
16 - 2,152,Albert Okwuegbunam,TE,Hot Sauce 'n' Bananas,99.25,6.2,20.5,2.56,8,10.0,F-,0755 Fantasy Football,2022
1 - 5,5,Christian McCaffrey,RB,Arm Pitts,0.0,0.0,357.8,22.36,16,100.0,A+,0755 Fantasy Football,2023
3 - 10,32,Josh Allen,QB,Pineapples and Tartar Sauce,0.0,0.0,392.64,23.1,17,100.0,A+,0755 Fantasy Football,2023
2 - 7,18,CeeDee Lamb,WR,Arm Pitts,0.0,0.0,335.7,19.75,17,100.0,A+,0755 Fantasy Football,2023
8 - 11,88,Dak Prescott,QB,MOTHER MAY I,0.0,0.0,342.84,20.17,17,98.62,A+,0755 Fantasy Football,2023
1 - 2,2,Tyreek Hill,WR,3rd World Immigrant,0.0,0.0,316.9,19.81,16,98.14,A+,0755 Fantasy Football,2023
1 - 8,8,Jalen Hurts,QB,Here 4 fun,0.0,0.0,356.82,20.99,17,96.73,A,0755 Fantasy Football,2023
4 - 6,39,Lamar Jackson,QB,India's Most Wanted,0.0,0.0,331.22,20.7,16,94.39,A,0755 Fantasy Football,2023
10 - 5,104,Raheem Mostert,RB,Brady Gaga,0.0,0.0,255.2,17.01,15,93.73,A,0755 Fantasy Football,2023
16 - 7,172,Russell Wilson,QB,Arm Pitts,0.0,0.0,256.9,17.13,15,93.28,A,0755 Fantasy Football,2023
11 - 3,113,Tua Tagovailoa,QB,MPT Phase Tua,0.0,0.0,270.36,15.9,17,92.78,A-,0755 Fantasy Football,2023
2 - 6,17,Amon-Ra St. Brown,WR,India's Most Wanted,194.41,12.96,271.4,16.96,16,92.5,A-,0755 Fantasy Football,2023
7 - 6,72,Breece Hall,RB,India's Most Wanted,0.0,0.0,252.5,14.85,17,90.09,A-,0755 Fantasy Football,2023
3 - 6,28,Travis Etienne Jr.,RB,India's Most Wanted,0.0,0.0,253.4,14.91,17,89.79,B+,0755 Fantasy Football,2023
14 - 1,144,Jared Goff,QB,"Baby Chark, Juju Juju ",0.0,0.0,289.1,17.01,17,89.06,B+,0755 Fantasy Football,2023
3 - 7,29,Patrick Mahomes,QB,Brady Gaga,0.0,0.0,280.22,17.51,16,88.44,B+,0755 Fantasy Football,2023
2 - 8,19,Joe Mixon,RB,Chicken Fried Chicken Meal,0.0,0.0,241.0,14.18,17,88.41,B+,0755 Fantasy Football,2023
7 - 3,69,Mike Evans,WR,MPT Phase Tua,0.0,0.0,243.0,14.29,17,87.59,B+,0755 Fantasy Football,2023
2 - 3,14,Derrick Henry,RB,Furnace Party,0.0,0.0,232.66,13.69,17,87.34,B+,0755 Fantasy Football,2023
4 - 4,37,Keenan Allen,WR,Here 4 fun,0.0,0.0,224.86,17.3,13,86.97,B,0755 Fantasy Football,2023
6 - 2,57,DJ Moore,WR,Pineapples and Tartar Sauce,0.0,0.0,238.5,14.03,17,86.83,B,0755 Fantasy Football,2023
2 - 5,16,A.J. Brown,WR,Brady Gaga,0.0,0.0,236.6,13.92,17,86.76,B,0755 Fantasy Football,2023
5 - 1,45,Deebo Samuel,WR,MOTHER MAY I,0.0,0.0,213.7,14.25,15,86.46,B,0755 Fantasy Football,2023
4 - 10,43,Rachaad White,RB,3rd World Immigrant,0.0,0.0,235.9,13.88,17,86.41,B,0755 Fantasy Football,2023
3 - 2,24,Jahmyr Gibbs,RB,3rd World Immigrant,0.0,0.0,216.1,14.41,15,85.48,B,0755 Fantasy Football,2023
4 - 9,42,Trevor Lawrence,QB,MPT Phase Tua,0.0,0.0,262.54,16.41,16,85.37,B,0755 Fantasy Football,2023
16 - 2,167,Sam LaPorta,TE,Pineapples and Tartar Sauce,0.0,0.0,196.3,11.55,17,85.31,B,0755 Fantasy Football,2023
2 - 1,12,Stefon Diggs,WR,"Baby Chark, Juju Juju ",0.0,0.0,220.3,12.96,17,84.45,B,0755 Fantasy Football,2023
14 - 9,152,Nico Collins,WR,MPT Phase Tua,0.0,0.0,220.4,14.69,15,84.2,B,0755 Fantasy Football,2023
4 - 7,40,Justin Herbert,QB,Arm Pitts,0.0,0.0,233.66,17.97,13,84.16,B,0755 Fantasy Football,2023
1 - 11,11,Bijan Robinson,RB,"Baby Chark, Juju Juju ",0.0,0.0,217.3,12.78,17,84.15,B,0755 Fantasy Football,2023
15 - 6,160,De'Von Achane,RB,India's Most Wanted,0.0,0.0,177.2,16.11,11,83.98,B,0755 Fantasy Football,2023
6 - 4,59,Alvin Kamara,RB,Here 4 fun,0.0,0.0,195.5,15.04,13,83.91,B,0755 Fantasy Football,2023
1 - 7,7,Saquon Barkley,RB,Brady Gaga,0.0,0.0,202.7,14.48,14,83.8,B,0755 Fantasy Football,2023
4 - 8,41,Justin Fields,QB,Chicken Fried Chicken Meal,0.0,0.0,230.18,17.71,13,83.59,B,0755 Fantasy Football,2023
7 - 11,77,David Montgomery,RB,"Baby Chark, Juju Juju ",0.0,0.0,199.2,14.23,14,83.41,B,0755 Fantasy Football,2023
15 - 4,158,Derek Carr,QB,Chicken Fried Chicken Meal,0.0,0.0,241.12,14.18,17,83.4,B,0755 Fantasy Football,2023
6 - 5,60,James Cook,RB,Brady Gaga,0.0,0.0,210.7,12.39,17,83.31,B,0755 Fantasy Football,2023
1 - 4,4,Ja'Marr Chase,WR,Chicken Fried Chicken Meal,0.0,0.0,212.72,13.3,16,83.22,B,0755 Fantasy Football,2023
7 - 7,73,Brandon Aiyuk,WR,Brady Gaga,0.0,0.0,211.7,13.23,16,83.08,B,0755 Fantasy Football,2023
1 - 9,9,Davante Adams,WR,Furnace Party,0.0,0.0,213.9,12.58,17,82.67,B-,0755 Fantasy Football,2023
6 - 1,56,James Conner,RB,"Baby Chark, Juju Juju ",0.0,0.0,188.0,14.46,13,82.63,B-,0755 Fantasy Football,2023
