Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade
9 - 4,Courtland Sutton,WR,Gabe's Grand Team,189.57,12.64,180.8,13.91,13,68.40928346877892
13 - 6,Jared Goff,QB,Numb Nutz,234.9,15.66,223.0,17.15,13,67.95517999535144
1 - 2,Bijan Robinson,RB,Skibidi Rizzlers,292.77,20.91,246.8,18.98,13,67.69283176966054
13 - 7,Rico Dowdle,RB,Breece Hall Sucks,148.5,10.61,141.8,11.82,12,67.36875013882135
15 - 12,Cole Kmet,TE,Tortured Football Department,113.65,7.58,106.8,8.22,13,67.32011008362431
8 - 6,Jayden Reed,WR,Breece Hall Sucks,180.45,12.03,168.1,12.93,13,67.06450094844858
5 - 12,D'Andre Swift,RB,Tortured Football Department,180.74,12.91,171.7,13.21,13,67.05810388977628
10 - 2,Ladd McConkey,WR,Your Mom,178.4,11.89,163.5,13.62,12,66.76187984987993
16 - 5,Jason Sanders,K,Golden Receivers,132.08,7.77,115.0,8.85,13,65.34481167314004
9 - 12,Jakobi Meyers,WR,Tortured Football Department,175.23,11.68,156.6,14.24,11,65.23750831755821
2 - 11,Drake London,WR,Skibidi Rizzlers,225.56,15.04,197.3,15.18,13,64.19654786400292
9 - 9,Jordan Addison,WR,Rizzly Bears,188.63,12.58,164.8,14.98,11,64.07967552420854
13 - 3,Jameson Williams,WR,SIGMAS,161.76,10.78,139.6,12.69,11,63.641711938575085
1 - 6,Justin Jefferson,WR,Numb Nutz,282.2,18.81,235.18,18.09,13,63.51332604001495
5 - 2,Kyler Murray,QB,Skibidi Rizzlers,264.09,17.61,222.88,17.14,13,63.19650704726983
15 - 3,Taysom Hill,TE,SIGMAS,125.77,8.38,102.34,12.79,8,63.19389922030597
3 - 6,James Cook,RB,Numb Nutz,221.92,15.85,192.7,16.06,12,63.083916316768125
7 - 6,Jordan Love,QB,Numb Nutz,206.72,17.23,188.06,17.1,11,63.012604350286225
13 - 8,Pat Freiermuth,TE,Golden Receivers,138.09,9.21,119.0,9.15,13,62.968571928823536
2 - 2,Garrett Wilson,WR,Your Mom,251.59,16.77,199.2,15.32,13,62.29654983138776
1 - 5,Amon-Ra St. Brown,WR,For Me to Poop on,283.98,18.93,226.18,17.4,13,61.88608641582808
7 - 1,Zay Flowers,WR,lawrence's Loud Team,216.41,14.43,174.7,13.44,13,61.716154843968205
3 - 1,Travis Kelce,TE,lawrence's Loud Team,209.13,13.94,158.3,12.18,13,61.47025715847286
5 - 6,Malik Nabers,WR,Numb Nutz,222.57,14.84,182.1,16.55,11,61.08109561203061
16 - 7,Xavier Legette,WR,Numb Nutz,131.86,8.79,108.4,8.34,13,60.738738035494514
5 - 10,Brock Purdy,QB,Oh My Josh,259.3,17.29,211.48,17.62,12,60.53415810386333
10 - 3,Caleb Williams,QB,Oh My Josh,252.19,16.81,204.34,15.72,13,60.40357026316317
3 - 3,Cooper Kupp,WR,SIGMAS,217.96,14.53,165.7,18.41,9,59.75068704384338
11 - 1,Younghoe Koo,K,lawrence's Loud Team,137.08,8.06,103.0,7.92,13,59.43261236197212
4 - 3,Kenneth Walker III,RB,Oh My Josh,212.4,15.17,167.3,16.73,10,59.30639929832078
15 - 5,Matthew Stafford,QB,For Me to Poop on,240.5,16.03,191.22,14.71,13,59.27757976864838
8 - 9,David Njoku,TE,Gabe's Grand Team,170.71,11.38,133.9,13.39,10,59.23132941217851
5 - 9,Rhamondre Stevenson,RB,Rizzly Bears,191.88,13.71,154.0,12.83,12,58.905891744035934
4 - 7,DJ Moore,WR,Numb Nutz,223.6,14.91,174.8,13.45,13,58.82702051689367
10 - 11,Justin Herbert,QB,Skibidi Rizzlers,252.01,16.8,196.96,15.15,13,58.453891870979334
14 - 2,Michael Wilson,WR,Your Mom,141.98,9.47,108.3,8.33,13,57.75041479369846
12 - 6,Justin Tucker,K,Breece Hall Sucks,141.89,8.35,104.0,8.0,13,57.30514781407591
3 - 5,Rachaad White,RB,For Me to Poop on,225.31,16.09,170.1,14.18,12,56.83115164881098
6 - 12,George Pickens,WR,lawrence's Loud Team,208.97,13.93,155.4,12.95,12,56.310816324568485
6 - 10,Brian Robinson Jr.,RB,SIGMAS,178.79,12.77,134.5,13.45,10,56.28950044990318
11 - 6,49ers D/ST,D/ST,Numb Nutz,127.76,7.52,91.0,7.0,13,56.11094486585316
1 - 4,CeeDee Lamb,WR,Gabe's Grand Team,316.73,21.12,215.0,16.54,13,55.93130952123363
4 - 2,Patrick Mahomes,QB,Your Mom,307.68,20.51,217.56,16.74,13,55.83504520399515
5 - 7,Mark Andrews,TE,Breece Hall Sucks,188.32,12.55,134.4,10.34,13,54.899491662700086
9 - 2,DeAndre Hopkins,WR,Skibidi Rizzlers,177.87,12.7,128.0,9.85,13,54.85220299996637
8 - 11,Austin Ekeler,RB,Skibidi Rizzlers,173.46,12.39,127.1,11.55,11,54.8236628646023
6 - 1,Calvin Ridley,WR,Tortured Football Department,219.39,14.63,149.0,11.46,13,54.817340965584506
15 - 1,Romeo Doubs,WR,lawrence's Loud Team,135.18,9.01,94.3,9.43,10,54.6521416562633
3 - 9,Nico Collins,WR,Rizzly Bears,229.68,15.31,156.2,19.52,8,54.54847614486195
10 - 8,Aaron Rodgers,QB,For Me to Poop on,265.24,17.68,188.24,14.48,13,54.45298001889938
8 - 4,Rome Odunze,WR,Rizzly Bears,175.21,11.68,123.0,9.46,13,54.27162710698334
9 - 10,Xavier Worthy,WR,Oh My Josh,176.21,11.75,124.2,9.55,13,54.151902796742256
7 - 2,Chris Godwin,WR,Skibidi Rizzlers,214.03,14.27,137.8,19.69,7,53.91877075927929
11 - 8,Tua Tagovailoa,QB,Golden Receivers,240.5,16.03,165.24,18.36,9,53.76978664254933
3 - 2,DK Metcalf,WR,Skibidi Rizzlers,224.9,14.99,149.2,13.56,11,53.73467906490533
7 - 4,Javonte Williams,RB,Gabe's Grand Team,185.2,13.23,128.5,9.88,13,53.14317567037036
12 - 12,Chiefs D/ST,D/ST,lawrence's Loud Team,102.3,6.02,67.0,5.15,13,52.643997381119604
2 - 6,Marvin Harrison Jr.,WR,Breece Hall Sucks,227.94,15.2,150.5,11.58,13,52.6266928883227
11 - 12,Kirk Cousins,QB,Tortured Football Department,250.92,16.73,169.84,13.06,13,52.529798347515154
6 - 3,Tee Higgins,WR,Oh My Josh,202.03,14.43,133.1,16.64,8,52.2817780600144
14 - 11,Dalton Schultz,TE,Skibidi Rizzlers,133.13,8.88,89.4,6.88,13,52.21813300430989
1 - 3,Tyreek Hill,WR,SIGMAS,298.89,19.93,177.2,13.63,13,52.2176881621783
1 - 7,Breece Hall,RB,Breece Hall Sucks,289.43,20.67,189.3,15.78,12,52.15914397892816
5 - 5,C.J. Stroud,QB,For Me to Poop on,276.58,18.44,180.58,13.89,13,51.62295817121838
13 - 10,DeMario Douglas,WR,Oh My Josh,164.84,10.99,108.7,8.36,13,51.55109325228329
13 - 12,Evan McPherson,K,Tortured Football Department,138.85,8.17,88.0,7.33,12,51.29795645936319
16 - 2,Jake Moody,K,Your Mom,138.58,8.15,86.0,8.6,10,51.15459970688269
4 - 5,Jaylen Waddle,WR,Golden Receivers,219.17,14.61,140.6,10.82,13,51.12321236816973
3 - 4,Davante Adams,WR,Gabe's Grand Team,234.0,15.6,148.2,14.82,10,50.95286686681262
2 - 3,Puka Nacua,WR,Oh My Josh,257.99,17.2,152.3,19.04,8,50.37586262483456
9 - 6,Jake Elliott,K,Numb Nutz,143.43,8.44,87.0,6.69,13,49.98043319728923
7 - 10,Kyle Pitts,TE,Oh My Josh,167.16,11.14,104.8,8.06,13,49.81442521055505
16 - 9,Dontayvion Wicks,WR,Gabe's Grand Team,125.82,8.39,78.6,6.05,13,49.59073729204238
6 - 11,Dallas Goedert,TE,Skibidi Rizzlers,152.14,10.14,94.1,10.46,9,49.48762311319568
16 - 4,Cairo Santos,K,Rizzly Bears,137.1,8.06,82.0,6.31,13,49.464141778785915
13 - 9,Tyler Conklin,TE,Rizzly Bears,128.46,8.56,79.7,6.13,13,49.37100854395359
1 - 9,A.J. Brown,WR,Rizzly Bears,259.78,17.32,155.6,15.56,10,49.23104862265137
3 - 10,Mike Evans,WR,Oh My Josh,235.36,15.69,144.0,14.4,10,48.96249295132973
12 - 2,Tyler Allgeier,RB,Your Mom,141.24,10.09,87.0,6.69,13,48.918890802852225
11 - 5,Jerome Ford,RB,For Me to Poop on,142.8,10.2,89.3,8.12,11,48.69977627304068
10 - 6,Tyler Lockett,WR,Breece Hall Sucks,170.33,12.17,104.1,8.01,13,48.31830538449246
12 - 8,Chig Okonkwo,TE,For Me to Poop on,118.41,7.89,69.7,5.36,13,47.603629903700416
6 - 6,Keenan Allen,WR,Breece Hall Sucks,202.19,15.55,124.1,11.28,11,47.40036500673365
11 - 3,Trevor Lawrence,QB,SIGMAS,249.08,16.61,145.2,14.52,10,47.15444778011267
11 - 9,Jets D/ST,D/ST,Rizzly Bears,130.8,7.69,73.0,5.62,13,47.05529638309972
4 - 8,DeVonta Smith,WR,For Me to Poop on,225.23,15.02,130.3,13.03,10,46.89683060080579
16 - 12,Kenneth Gainwell,RB,lawrence's Loud Team,77.15,5.51,45.1,3.47,13,46.695380515536186
16 - 3,Miles Sanders,RB,Oh My Josh,86.51,6.18,50.7,5.07,10,46.4231613498017
12 - 11,Harrison Butker,K,Skibidi Rizzlers,146.59,8.62,80.0,8.89,9,46.42037670656717
1 - 11,Jonathan Taylor,RB,Your Mom,256.83,18.34,142.2,14.22,10,45.44493626976108
13 - 1,Jaleel McLaughlin,RB,lawrence's Loud Team,137.78,9.84,74.4,5.72,13,45.19646595796105
4 - 12,Stefon Diggs,WR,lawrence's Loud Team,226.85,15.12,121.92,15.24,8,44.90210732558254
4 - 1,Michael Pittman Jr.,WR,Tortured Football Department,230.91,15.39,113.0,9.42,12,44.85828975612878
9 - 1,Zack Moss,RB,lawrence's Loud Team,155.33,11.09,81.9,10.24,8,44.56497422117123
6 - 9,Tank Dell,WR,Gabe's Grand Team,211.88,14.13,112.1,9.34,12,43.99764264106037
3 - 12,Sam LaPorta,TE,Tortured Football Department,209.78,13.99,110.5,9.21,12,43.99207305325959
11 - 7,Cowboys D/ST,D/ST,Breece Hall Sucks,131.5,7.74,66.0,5.08,13,43.7969069367411
14 - 3,Dolphins D/ST,D/ST,Oh My Josh,116.75,6.87,58.0,4.46,13,43.638902398776175
15 - 11,Saints D/ST,D/ST,Your Mom,116.17,6.83,58.0,4.46,13,43.550651075285195
14 - 4,Rashid Shaheed,WR,Rizzly Bears,158.99,10.6,79.8,11.4,7,43.28856006189936
12 - 10,Joshua Palmer,WR,SIGMAS,168.28,11.22,87.2,7.27,12,43.23927713533864
3 - 7,Deebo Samuel Sr.,WR,Breece Hall Sucks,221.23,15.8,114.5,9.54,12,43.1479037704798
15 - 2,Antonio Gibson,RB,Skibidi Rizzlers,141.85,10.91,73.0,5.62,13,42.67538148508339
4 - 10,Amari Cooper,WR,SIGMAS,209.6,13.97,106.1,9.65,11,42.5151171033542
8 - 8,Christian Watson,WR,For Me to Poop on,188.61,12.57,94.4,7.87,12,42.32222993874179
6 - 2,Evan Engram,TE,Your Mom,183.21,12.21,89.5,9.94,9,42.17237184758177
16 - 11,Tyler Boyd,WR,Skibidi Rizzlers,131.96,8.8,65.0,5.0,13,42.122521050311065
9 - 8,Jaylen Warren,RB,Golden Receivers,177.64,12.69,89.1,8.1,11,41.46443131834468
10 - 12,Keon Coleman,WR,lawrence's Loud Team,169.97,11.33,83.7,9.3,9,41.406387115064355
11 - 2,Adam Thielen,WR,Skibidi Rizzlers,171.4,11.43,76.7,12.78,6,40.9829892439814
11 - 4,Browns D/ST,D/ST,Gabe's Grand Team,137.81,8.11,62.0,4.77,13,40.888001013189516
7 - 9,Jake Ferguson,TE,Rizzly Bears,165.68,11.05,79.3,7.93,10,40.590622052738
6 - 7,Dalton Kincaid,TE,Numb Nutz,172.22,11.48,81.6,8.16,10,40.4092350261593
5 - 4,Anthony Richardson,QB,Gabe's Grand Team,275.89,18.39,128.74,14.3,9,40.33504412167352
10 - 1,Ravens D/ST,D/ST,Tortured Football Department,129.63,7.63,53.0,4.08,13,39.54136387089455
9 - 7,Devin Singletary,RB,Breece Hall Sucks,168.32,12.02,75.6,6.87,11,38.452233923553834
16 - 1,Bengals D/ST,D/ST,Tortured Football Department,115.76,6.81,46.0,3.54,13,38.36321799170449
2 - 7,Travis Etienne Jr.,RB,Numb Nutz,225.37,16.1,94.5,8.59,11,37.47620579218291
7 - 7,Dak Prescott,QB,Breece Hall Sucks,276.67,18.44,116.52,14.57,8,37.20929861373383
7 - 5,Diontae Johnson,WR,For Me to Poop on,208.5,13.9,85.9,7.81,11,36.98126810098879
14 - 12,Adonai Mitchell,WR,lawrence's Loud Team,130.4,8.69,47.96,3.69,13,35.101006007780015
11 - 10,T.J. Hockenson,TE,Oh My Josh,130.0,13.0,56.9,9.48,6,34.815936326955025
10 - 10,Nick Chubb,RB,SIGMAS,134.04,14.89,61.2,8.74,7,34.71061965308395
14 - 6,Trey Benson,RB,Breece Hall Sucks,123.65,8.83,44.8,3.73,12,33.885494663461515
8 - 1,Christian Kirk,WR,Tortured Football Department,205.43,13.7,70.9,8.86,8,33.58903747314952
5 - 3,Rashee Rice,WR,SIGMAS,209.27,14.95,64.9,16.23,4,33.15314407970382
2 - 4,Chris Olave,WR,Rizzly Bears,245.77,16.38,76.7,9.59,8,31.413351940332916
14 - 7,Curtis Samuel,WR,Numb Nutz,166.57,11.1,50.4,4.2,12,30.834003215037118
13 - 4,Gabe Davis,WR,Gabe's Grand Team,170.83,11.39,53.9,5.39,10,30.682795547322375
11 - 11,Mike Williams,WR,Your Mom,163.13,11.65,45.4,3.24,14,30.546841298082402
1 - 1,Christian McCaffrey,RB,lawrence's Loud Team,335.49,25.81,47.8,11.95,4,30.545614764833196
8 - 5,Raheem Mostert,RB,Golden Receivers,170.66,12.19,55.3,6.14,9,30.477545542193475
14 - 1,Deshaun Watson,QB,Tortured Football Department,258.63,17.24,76.72,10.96,7,29.696672086698904
9 - 5,Ezekiel Elliott,RB,For Me to Poop on,160.42,11.46,44.6,3.72,12,29.26838216740739
16 - 8,Jaguars D/ST,D/ST,For Me to Poop on,114.73,6.75,29.0,2.23,13,29.166889812670775
8 - 7,Tyjae Spears,RB,Numb Nutz,175.41,12.53,51.5,5.72,9,28.501918827340216
10 - 4,Gus Edwards,RB,Rizzly Bears,143.02,10.22,41.7,4.63,9,28.46910589530073
3 - 11,Brandon Aiyuk,WR,Your Mom,222.47,14.83,62.4,8.91,7,28.007793744432096
13 - 11,Ja'Lynn Polk,WR,Your Mom,142.65,9.51,32.7,2.73,12,26.567193435745878
12 - 5,Blake Corum,RB,Golden Receivers,117.04,8.36,25.3,1.95,13,26.480150927728566
15 - 10,Greg Zuerlein,K,Oh My Josh,140.96,8.29,35.0,4.38,8,26.437752578121188
12 - 9,Ty Chandler,RB,Gabe's Grand Team,137.1,9.79,27.3,2.1,13,25.431892012231735
15 - 7,Brandin Cooks,WR,Breece Hall Sucks,155.49,10.37,34.9,5.82,6,23.865356211478048
2 - 8,Isiah Pacheco,RB,For Me to Poop on,232.55,16.61,45.9,11.48,4,23.157565795931564
7 - 12,Zamir White,RB,Tortured Football Department,182.53,13.04,29.3,3.66,8,19.577244772240476
15 - 6,Khalil Herbert,RB,Numb Nutz,104.74,7.48,13.5,1.35,10,19.00706661944701
15 - 9,Hendon Hooker,QB,Rizzly Bears,30.2,7.55,2.68,0.89,3,9.169781059669809
9 - 11,Jonathon Brooks,RB,Your Mom,139.98,14.0,7.5,2.5,3,8.59865737950966
10 - 5,Hollywood Brown,WR,Golden Receivers,140.29,11.69,0.0,0.0,0,1.0
