Team,Draft Grade,Letter Grade,League Name,Standing,Points For,Points Against,Record,Year,LPI
Furnace Party,69.94,D+,0755 Fantasy Football,11.0,1003.96,1488.88,0-13-0,2023.0,-60.0
Frisco Cougars,69.94,D+,RRR On Premise,,,,,,
Kenny The Tick Salcido,69.62,D+,RRR On Premise,,,,,,
Taco Tuesday Everyday,69.56,D+,THE BEST OF THE BEST,14.0,1248.4,1332.82,5-9-0,2023.0,-70.0
 Johnny  Dramas ,69.41,D+,RRR On Premise,,,,,,
Dennis The Menace ,69.16,D+,RRR On Premise,,,,,,
The Upside Down,68.89,D+,THE BEST OF THE BEST,12.0,1365.58,1484.02,6-8-0,2024.0,-13.0
Titan Up,68.8,D+,RRR On Premise,,,,,,
Shindo ,68.75,D+,RRR On Premise,,,,,,
Team Padodara,68.46,D+,Brown Munde,10.0,1375.64,1701.3,8-20-0,2024.0,-46.0
Unicorns🦄 ,68.25,D+,RRR On Premise,,,,,,
Jackson's Tiktok,67.89,D+,RRR On Premise,,,,,,
"Lights, Kamara, Action",67.53,D+,RRR On Premise,,,,,,
Cor Dawg Dub City,66.84,D,RRR On Premise,,,,,,
Team Behel,66.47,D,RRR On Premise,,,,,,
I've Got  A Thielen,65.9,D,RRR On Premise,,,,,,
Team Flaherty,63.04,D,RRR On Premise,,,,,,
Oversized Pumpkins,62.93,D-,RRR On Premise,,,,,,
Team DEMBOYZ,62.59,D-,RRR On Premise,,,,,,
Oklahoma Go Sports!,60.88,D-,RRR On Premise,,,,,,
Gato’s Mom Breezy,59.54,F-,RRR On Premise,,,,,,
